Factor,IC,ICIR,Abs_IC,Abs_ICIR,Score
VSUMN5,0.051770221240015644,6.658407781433168,0.051770221240015644,6.658407781433168,0.34470724395103686
VMA30,0.05440289200617972,6.167975790010304,0.05440289200617972,6.167975790010304,0.3355557208006616
Alpha97,-0.05012151098591145,-6.068791524454909,0.05012151098591145,6.068791524454909,0.304177001064173
CORD5,-0.04476863469238953,-6.594109265933615,0.04476863469238953,6.594109265933615,0.2952092688482829
CORD10,-0.045328210487457825,-6.4961572467098865,0.045328210487457825,6.4961572467098865,0.2944591830384902
LOW0,0.04979063490662604,5.51290903635246,0.04979063490662604,5.51290903635246,0.2744912411024649
CNTN5,0.04712510338712214,5.719937588135247,0.04712510338712214,5.719937588135247,0.26955265020875957
CORR5,-0.04078052024586122,-5.3292395071821606,0.04078052024586122,5.3292395071821606,0.21732915961768556
RANK10,-0.04677380592941037,-4.5909915710460245,0.04677380592941037,4.5909915710460245,0.21473814876766556
VSUMD60,-0.04249490916563379,-4.943832900157811,0.04249490916563379,4.943832900157811,0.21008773002227804
Alpha178,-0.0464012974796771,-4.4272931948413365,0.0464012974796771,4.4272931948413365,0.20543214856358288
CORD60,-0.037917026516728784,-5.414927229372238,0.037917026516728784,5.414927229372238,0.2053179393422639
Alpha134,-0.04443296545890393,-4.507027777052818,0.04443296545890393,4.507027777052818,0.20026060954010844
Alpha86,0.04078929376478634,4.831506238979878,0.04078929376478634,4.831506238979878,0.19707372730814823
Alpha38,0.03944371808351687,4.8305530041980385,0.03944371808351687,4.8305530041980385,0.1905349708850729
CNTN10,0.03840170131264756,4.616814072309831,0.03840170131264756,4.616814072309831,0.17729351502087015
CORR10,-0.03673737989989109,-4.80767852388704,0.03673737989989109,4.80767852388704,0.1766215123685858
VMA5,0.03821876759681267,4.615418946255216,0.03821876759681267,4.615418946255216,0.17639562406885415
KLOW,-0.036092374013989834,-4.778241722315556,0.036092374013989834,4.778241722315556,0.172458087371064
VSUMP30,-0.034522351153436784,-3.8078519092642997,0.034522351153436784,3.8078519092642997,0.13145600075190686
CORR30,-0.035482499284431396,-3.601490998572831,0.035482499284431396,3.601490998572831,0.12778990177974658
volume_surge,-0.032464231728763504,-3.8885441900558657,0.032464231728763504,3.8885441900558657,0.12623859967351062
MIN5,0.035199557713495436,3.3814993130622506,0.035199557713495436,3.3814993130622506,0.11902728022827987
RANK60,-0.035547467371798695,-3.3181897427899947,0.035547467371798695,3.3181897427899947,0.11795324161526444
Alpha129,0.03839976313974944,3.0524038033992156,0.03839976313974944,3.0524038033992156,0.11721158305740019
Alpha11,-0.031218696536344806,-3.6844361654076567,0.031218696536344806,3.6844361654076567,0.11502329455539555
BETA10,-0.03324851608734227,-3.0140380118114263,0.03324851608734227,3.0140380118114263,0.10021229132357332
Alpha139,0.0258067269231397,3.5673225886282576,0.0258067269231397,3.5673225886282576,0.09206091989147726
WVMA5,-0.02092234259083044,-4.291290409249699,0.02092234259083044,4.291290409249699,0.08978384809906717
KLEN,-0.03297859491316991,-2.7029405663174106,0.03297859491316991,2.7029405663174106,0.08913918201095594
CORR60,-0.031953264123123354,-2.78220296112276,0.031953264123123354,2.78220296112276,0.08890046606089144
ROC30,0.03140216514045627,2.5577540042270326,0.03140216514045627,2.5577540042270326,0.08031901362940055
CNTN30,0.02649895961301025,3.0271718711696622,0.02649895961301025,3.0271718711696622,0.08021690515576554
IMAX5,-0.02629863812817285,-3.044591303283635,0.02629863812817285,3.044591303283635,0.08006860493323847
momentum_1m,-0.027905793727376883,-2.32773955400942,0.027905793727376883,2.32773955400942,0.06495741984524313
WVMA20,-0.019419091273038973,-3.3154661253438635,0.019419091273038973,3.3154661253438635,0.06438333930072136
IMIN10,0.022767674321014085,2.741846541159414,0.022767674321014085,2.741846541159414,0.06242546908731648
IMIN5,0.021391803142436508,2.7715867614524226,0.021391803142436508,2.7715867614524226,0.059289238393173356
WVMA10,-0.01635538020574427,-3.1760394716032185,0.01635538020574427,3.1760394716032185,0.051945333106521774
RESI60,-0.02417691828677292,-2.1054128576162343,0.02417691828677292,2.1054128576162343,0.05090239461850877
Alpha128,-0.019829328721146115,-2.3477298350068985,0.019829328721146115,2.3477298350068985,0.04655390664679392
Alpha150,-0.02337628373703215,-1.8999386931678646,0.02337628373703215,1.8999386931678646,0.04441350597445807
Alpha40,-0.0205810587310949,-2.154618286791625,0.0205810587310949,2.154618286791625,0.044344325503549505
VSTD10,0.017331593549482528,2.3747708855342253,0.017331593549482528,2.3747708855342253,0.04115856376122389
MAX20,0.022479245076823248,1.769114528160365,0.022479245076823248,1.769114528160365,0.039768359047485366
WVMA60,-0.016709943016584183,-2.1832634694907136,0.016709943016584183,2.1832634694907136,0.036482208165379705
RSQR5,-0.015392931819321548,-2.040343233896776,0.015392931819321548,2.040343233896776,0.031406864287387114
STD5,-0.01858559319384844,-1.6877308165064342,0.01858559319384844,1.6877308165064342,0.03136747837631026
MAX60,0.020127901015082522,1.5551459106018501,0.020127901015082522,1.5551459106018501,0.03130182295260441
BETA60,-0.01879293789983486,-1.5320465632679092,0.01879293789983486,1.5320465632679092,0.028791655923149233
IMAX60,-0.0176850912637096,-1.6172125285240293,0.0176850912637096,1.6172125285240293,0.02860055115976202
IMAX30,-0.015199616655755428,-1.602921639016131,0.015199616655755428,1.602921639016131,0.024363794442260375
STD60,0.016336965813322717,1.3683588040158878,0.016336965813322717,1.3683588040158878,0.022354831001566718
RESI10,-0.013896436355592765,-1.4198228928053251,0.013896436355592765,1.4198228928053251,0.01973047846608281
KUP2,0.010815114505558263,1.5847993900679362,0.010815114505558263,1.5847993900679362,0.017139786871923624
Alpha191,-0.00957724028545884,-1.4412690796746208,0.00957724028545884,1.4412690796746208,0.013803380292045964
IMAX20,-0.0111317175040742,-1.2247899447978006,0.0111317175040742,1.2247899447978006,0.01363401566731975
ROC60,0.01189857864882652,1.1221998958053703,0.01189857864882652,1.1221998958053703,0.013352583719945124
MIN30,0.011169260829381958,0.9605619875783901,0.011169260829381958,0.9605619875783901,0.010728767382052591
circ_mv,-0.007939779112128828,-1.2563463983846375,0.007939779112128828,1.2563463983846375,0.009975112891492628
volatility_filter,-0.010192242430165595,-0.795353523483265,0.010192242430165595,0.795353523483265,0.008106435929027841
IMXD60,-0.00925295352085995,-0.8192735924517083,0.00925295352085995,0.8192735924517083,0.007580700471823614
Alpha4,-0.006540135188979472,-1.0194017999155176,0.006540135188979472,1.0194017999155176,0.006667025583336488
CNTP60,-0.0067544934392634905,-0.6208700808367627,0.0067544934392634905,0.6208700808367627,0.004193662887646906
MAX5,0.006237573478361021,0.5320778327662233,0.006237573478361021,0.5320778327662233,0.003318874578086405
RSQR60,0.004595382538540546,0.6555493816346664,0.004595382538540546,0.6555493816346664,0.0030125001815149983
Alpha118,-0.0049691283285092204,-0.5069266786245745,0.0049691283285092204,0.5069266786245745,0.0025189837192304628
IMIN30,-0.004133395657580184,-0.488241167787375,0.004133395657580184,0.488241167787375,0.0020180939227842135
IMIN20,0.004005346000695907,0.5011540816005949,0.004005346000695907,0.5011540816005949,0.002007295496471373
RSQR20,-0.003175079472932738,-0.3783828845916387,0.003175079472932738,0.3783828845916387,0.0012013957297759893
Alpha15,0.0026277258881809086,0.3035646950850112,0.0026277258881809086,0.3035646950850112,0.0007976848080126278
HIGH0,0.002882452800644033,0.2600068606260607,0.002882452800644033,0.2600068606260607,0.0007494575035982515
RSQR10,-0.0019710402637568058,-0.2716299502782156,0.0019710402637568058,0.2716299502782156,0.0005353935688406222
VSTD5,-0.0014624962696252347,-0.21023830297436638,0.0014624962696252347,0.21023830297436638,0.0003074727338323507
RSQR30,0.0011127690062218004,0.15978419246030265,0.0011127690062218004,0.15978419246030265,0.00017780289705400388
Alpha76,-0.001110651947294421,-0.14611501247148362,0.001110651947294421,0.14611501247148362,0.00016228292313040187
