instrument,anomaly_count,label_issue_count,price_issue_count,max_abs_label_5d
600289.sh,46,45,45,6.523957
002309.sz,45,44,45,0.09868419
002656.sz,42,42,42,
000525.sz,35,32,34,6.682233
603958.sh,35,32,35,0.46492994
600250.sh,25,23,25,0.18060201
601211.sh,22,21,22,0.14904141
002052.sz,18,16,17,7.2976513
600157.sh,17,15,17,45.971027
000559.sz,16,15,15,36.32079
600575.sh,16,15,15,17.532045
600718.sh,16,15,15,15.54763
600725.sh,16,15,15,8.196753
002208.sz,16,15,15,5.115809
600479.sh,15,14,14,14.935957
000958.sz,15,14,15,0.46666658
002277.sz,15,14,15,0.46612465
000973.sz,15,14,15,0.4657097
600889.sh,15,14,15,0.46493506
600292.sh,15,14,15,0.46476507
603196.sh,15,14,15,0.4638933
002693.sz,15,14,15,0.46167254
002743.sz,15,14,15,0.29976302
600322.sh,15,14,15,0.20066887
002873.sz,15,14,15,0.17251194
002715.sz,15,14,15,0.13181317
002838.sz,15,14,15,0.106630266
600027.sh,15,14,15,0.10645169
600482.sh,15,14,15,0.10532403
600179.sh,15,14,15,0.073275924
002736.sz,15,14,15,0.06747782
603776.sh,15,14,15,0.041642547
603160.sh,15,14,15,0.034229815
002761.sz,15,14,15,0.027804494
601107.sh,15,14,15,0.024193525
601456.sh,15,14,15,0.019982696
600150.sh,15,14,15,0.016809046
000859.sz,15,14,15,0.0047022104
603922.sh,15,14,15,0.004629612
603991.sh,14,13,14,0.3960886
603001.sh,14,13,14,0.03125
600356.sh,14,13,14,0.014510274
000791.sz,14,13,14,0.0035088062
002252.sz,13,13,12,22.550724
002379.sz,13,13,12,7.4157877
603268.sh,13,12,13,0.4642179
000599.sz,13,12,13,0.29027116
000506.sz,13,11,13,0.21710527
000603.sz,13,12,13,0.020749688
603031.sh,12,11,12,0.009591877
603088.sh,11,10,10,5.181804
600777.sh,10,8,9,30.189365
002064.sz,10,9,9,10.68597
002016.sz,10,9,9,5.5325375
603955.sh,10,8,10,0.46458924
600520.sh,10,9,10,0.46451616
603887.sh,10,9,10,0.4624846
000908.sz,10,8,10,0.1472081
603305.sh,10,9,10,0.14330459
600584.sh,10,9,10,0.1280567
603356.sh,10,9,10,0.11455107
000595.sz,10,9,10,0.114058256
605077.sh,10,9,10,0.063063025
000929.sz,10,9,10,0.04441905
002931.sz,10,9,10,0.030952334
603069.sh,10,9,10,0.009687901
000421.sz,9,9,8,6.249773
605028.sh,9,8,9,0.23006952
002995.sz,9,8,9,0.1312136
603389.sh,9,8,9,0.11904758
002047.sz,9,8,9,0.087499976
002310.sz,8,5,8,47.7111
000016.sz,8,8,7,20.954155
000777.sz,8,8,7,6.30602
601298.sh,7,6,7,0.013043404
002494.sz,7,7,7,
600535.sh,6,5,5,11.44449
002123.sz,6,6,5,7.955763
603007.sh,6,4,6,0.21518993
603559.sh,6,4,6,0.21401274
600165.sh,6,4,6,0.18421048
002217.sz,6,4,6,0.16182578
000796.sz,6,4,6,0.13257581
002251.sz,6,4,6,0.13109756
000657.sz,6,5,6,0.096463025
600375.sh,6,4,6,0.070957065
600117.sh,6,4,6,0.060606062
600759.sh,6,4,6,0.045082033
603030.sh,6,4,6,0.030927777
600715.sh,6,4,6,0.02242148
600654.sh,5,3,5,1466.2097
600603.sh,5,3,5,219.17937
600518.sh,5,3,5,44.075943
603988.sh,5,4,5,0.46629834
600421.sh,5,4,5,0.18166238
603819.sh,5,4,5,0.13636363
603300.sh,5,4,5,0.089529574
002263.sz,5,4,5,0.032128453
600729.sh,5,4,5,0.016139627
603227.sh,5,4,5,0.0073313713
002510.sz,5,4,5,0.0
600641.sh,4,3,3,22.31327
000839.sz,4,3,3,20.425406
000801.sz,4,3,3,17.01293
002124.sz,4,3,3,16.55826
