instrument,datetime,open,close,next_open,future_close_5d,label_5d,price_issue,label_issue,is_anomaly,abs_label_5d
600653.sh,2024-10-10,1.44,1.48,0.00014618,1.45,9918.278,True,True,True,9918.278
600601.sh,2024-10-10,3.46,3.45,0.00052539,3.64,6927.187,True,True,True,6927.187
600651.sh,2024-10-10,3.35,3.33,0.00055956,3.18,5682.0366,True,True,True,5682.0366
600654.sh,2024-10-10,2.39,2.37,0.00155397,2.28,1466.2097,True,True,True,1466.2097
600611.sh,2024-10-10,9.839007,8.9166,0.01179612,8.569458,725.4642,True,True,True,725.4642
600602.sh,2024-10-10,15.972173,14.39492,0.02551801,14.404903,563.4995,True,True,True,563.4995
600620.sh,2024-10-10,5.5315027,5.491564,0.01269867,5.172055,406.29108,True,True,True,406.29108
600622.sh,2024-10-10,2.55,2.42,0.01026795,3.89,377.8488,True,True,True,377.8488
600616.sh,2024-10-10,5.0352817,5.1145773,0.01317308,4.946074,374.4683,True,True,True,374.4683
600621.sh,2024-10-10,16.373592,15.194852,0.04955329,14.579517,293.21896,True,True,True,293.21896
600795.sh,2024-10-10,4.859345,4.9629354,0.01739179,4.774589,273.53122,True,True,True,273.53122
600655.sh,2024-10-10,5.8221116,5.8898106,0.02432585,5.454603,223.23074,True,True,True,223.23074
600603.sh,2024-10-10,5.37,5.58,0.03020265,6.65,219.17937,True,True,True,219.17937
000651.sz,2024-10-10,44.05199,45.405464,0.21554464,42.62535,196.75648,False,True,True,196.75648
000002.sz,2024-10-10,8.9,9.12,0.049366,9.21,185.56564,True,True,True,185.56564
600606.sh,2024-10-10,1.97,1.94,0.01154348,1.93,166.19395,True,True,True,166.19395
600635.sh,2024-10-10,3.6838822,3.5155327,0.02316093,3.287766,140.95311,True,True,True,140.95311
600612.sh,2024-10-10,55.994946,56.474766,0.3870146,52.76096,135.32808,False,True,True,135.32808
000001.sz,2024-10-10,10.681768,11.012701,0.08632596,10.985123,126.25167,False,True,True,126.25167
600608.sh,2024-10-10,2.69,2.57,0.02641419,2.64,98.94628,True,True,True,98.94628
600660.sh,2024-10-10,52.961388,54.704895,0.61092025,53.29884,86.24353,False,True,True,86.24353
002024.sz,2024-10-10,1.55,1.53,0.01748986,1.49,84.19222,True,True,True,84.19222
000157.sz,2024-10-10,6.4955645,6.7023697,0.07669264,6.31696,81.367226,False,True,True,81.367226
600120.sh,2024-10-10,4.265198,4.129178,0.04990179,4.0417366,79.99382,True,True,True,79.99382
600887.sh,2024-10-10,24.251612,25.18156,0.2935087,23.26696,78.27179,False,True,True,78.27179
600610.sh,2024-10-10,4.46,4.6,0.05683679,4.33,75.183044,False,True,True,75.183044
600276.sh,2024-10-10,51.284725,52.16792,0.7961586,48.84354,60.349007,False,True,True,60.349007
600662.sh,2024-10-10,4.736989,4.7274,0.07376547,4.4589067,59.44707,False,True,True,59.44707
600619.sh,2024-10-10,10.967112,9.421746,0.15780766,9.421746,58.703983,False,True,True,58.703983
600617.sh,2024-10-10,2.62,2.66,0.04245599,2.51,58.120045,True,True,True,58.120045
600256.sh,2024-10-10,6.49563,6.7475376,0.12317677,6.9814525,55.67832,False,True,True,55.67832
600615.sh,2024-10-10,7.917968,7.976249,0.14404055,7.9929013,54.49063,False,True,True,54.49063
600588.sh,2024-10-10,11.6,11.77,0.20791319,10.82,51.040947,False,True,True,51.040947
600066.sh,2024-10-10,21.58241,22.961868,0.41422576,21.538757,50.99763,False,True,True,50.99763
600604.sh,2024-10-10,4.191861,4.161919,0.07929388,4.1219964,50.98379,False,True,True,50.98379
600741.sh,2024-10-10,16.58336,16.554636,0.29896477,15.396099,50.49804,False,True,True,50.49804
600886.sh,2024-10-10,15.759897,16.01221,0.30207288,15.25527,49.501953,False,True,True,49.501953
600089.sh,2024-10-10,13.336922,13.621103,0.24615212,12.376585,49.28023,False,True,True,49.28023
600031.sh,2024-10-10,17.33849,17.967047,0.34302375,17.145088,48.98222,False,True,True,48.98222
600605.sh,2024-10-10,31.831161,31.035381,0.5977424,29.82182,48.890755,False,True,True,48.890755
600177.sh,2024-10-10,6.8621235,6.9784307,0.13605727,6.754763,48.64647,False,True,True,48.64647
002310.sz,2024-10-10,1.3,1.29,0.02750913,1.34,47.7111,True,True,True,47.7111
600406.sh,2024-10-10,26.35947,26.301281,0.52225035,24.982338,46.83594,False,True,True,46.83594
600570.sh,2024-10-10,27.647085,25.1391,0.5344147,25.435318,46.59472,False,True,True,46.59472
600628.sh,2024-10-10,6.6439414,6.6240497,0.13637829,6.415183,46.039623,False,True,True,46.039623
600157.sh,2024-10-10,1.301709,1.3513925,0.02623217,1.232152,45.971027,True,True,True,45.971027
000039.sz,2024-10-10,8.448652,8.61508,0.16921645,7.763362,44.878292,False,True,True,44.878292
600415.sh,2024-10-10,8.893927,9.476212,0.22883694,10.368422,44.30921,False,True,True,44.30921
000690.sz,2024-10-10,4.2312665,4.2588615,0.08940218,4.0381,44.1678,False,True,True,44.1678
600518.sh,2024-10-10,1.91,1.92,0.03993261,1.8,44.075943,True,True,True,44.075943
000069.sz,2024-10-10,2.75,2.72,0.05988288,2.68,43.75403,False,True,True,43.75403
002236.sz,2024-10-10,15.931255,15.771,0.3356668,14.998004,43.681225,False,True,True,43.681225
600881.sh,2024-10-10,1.72,1.68,0.03387103,1.51,43.58087,True,True,True,43.58087
002001.sz,2024-10-10,21.344427,22.074312,0.48987067,21.812302,43.526653,False,True,True,43.526653
000006.sz,2024-10-10,4.89,5.21,0.13009562,5.74,43.12139,False,True,True,43.12139
002153.sz,2024-10-10,7.793297,7.2045584,0.16057175,7.034922,42.811703,False,True,True,42.811703
000425.sz,2024-10-10,7.4173474,7.6133146,0.17305489,7.495734,42.3142,False,True,True,42.3142
600675.sh,2024-10-10,2.92,2.91,0.06657591,2.84,41.658073,False,True,True,41.658073
002131.sz,2024-10-10,1.7753211,1.7358695,0.03834786,1.6175148,41.180058,True,True,True,41.180058
600582.sh,2024-10-10,5.5469275,5.7264395,0.1303211,5.4033175,40.46157,False,True,True,40.46157
002007.sz,2024-10-10,15.741879,15.585107,0.35894668,14.487694,39.361687,False,True,True,39.361687
000402.sz,2024-10-10,3.4,3.21,0.08098717,3.19,38.388954,False,True,True,38.388954
600690.sh,2024-10-10,29.996805,30.636866,0.7423645,28.926857,37.96584,False,True,True,37.96584
002271.sz,2024-10-10,11.685198,11.52074,0.3025916,11.581329,37.273796,False,True,True,37.273796
000060.sz,2024-10-10,4.783682,4.842498,0.11932052,4.5582213,37.20149,False,True,True,37.20149
600252.sh,2024-10-10,2.32,2.31,0.05867709,2.2,36.49334,False,True,True,36.49334
000559.sz,2024-10-10,5.381596,5.3526106,0.13539629,5.0530963,36.32079,False,True,True,36.32079
600309.sh,2024-10-10,82.51163,82.96798,1.9933648,74.27794,36.262592,False,True,True,36.262592
600839.sh,2024-10-10,6.0301805,5.841115,0.20062847,7.333734,35.553806,False,True,True,35.553806
000516.sz,2024-10-10,5.58,5.59,0.14019512,5.08,35.235214,False,True,True,35.235214
600867.sh,2024-10-10,7.7152286,7.6685824,0.19941637,7.2207823,35.209576,False,True,True,35.209576
600879.sh,2024-10-10,8.482068,8.46218,0.22701779,8.203641,35.136555,False,True,True,35.136555
002475.sz,2024-10-10,41.733585,43.07184,1.2529563,41.594807,32.197334,False,True,True,32.197334
600016.sh,2024-10-10,3.5794985,3.671992,0.1087306,3.5979972,32.090935,False,True,True,32.090935
600717.sh,2024-10-10,4.6271753,4.7739143,0.14029671,4.588045,31.702442,False,True,True,31.702442
000568.sz,2024-10-10,134.03319,138.83086,3.785941,123.65551,31.661766,False,True,True,31.661766
002065.sz,2024-10-10,6.097222,5.75904,0.18104313,5.778933,30.9202,False,True,True,30.9202
600787.sh,2024-10-10,5.0813127,5.2889147,0.1576814,4.9330254,30.284763,False,True,True,30.284763
600477.sh,2024-10-10,2.533916,2.5723085,0.0771645,2.4091399,30.22083,False,True,True,30.22083
600777.sh,2024-10-10,1.8,1.81,0.05931509,1.85,30.189365,False,True,True,30.189365
002081.sz,2024-10-10,3.3581245,3.3390985,0.1061287,3.301046,30.104177,False,True,True,30.104177
000541.sz,2024-10-10,5.233098,5.203644,0.16171852,4.997462,29.902224,False,True,True,29.902224
600064.sh,2024-10-10,6.6643376,6.6065545,0.21377493,6.4428353,29.138405,False,True,True,29.138405
001696.sz,2024-10-10,15.110336,14.786543,0.51339346,15.326198,28.852732,False,True,True,28.852732
600623.sh,2024-10-10,7.214153,6.9599957,0.21822399,6.510333,28.83326,False,True,True,28.83326
600880.sh,2024-10-10,4.3416123,4.241805,0.14184967,4.2018824,28.622082,False,True,True,28.622082
600577.sh,2024-10-10,5.305162,4.891004,0.18998115,5.61085,28.53372,False,True,True,28.53372
600816.sh,2024-10-10,3.31,3.18,0.1026999,3.03,28.503437,False,True,True,28.503437
600739.sh,2024-10-10,12.589372,12.010321,0.36690983,10.822267,28.495712,False,True,True,28.495712
600499.sh,2024-10-10,7.874603,7.807216,0.23565075,6.9504437,28.494682,False,True,True,28.494682
002195.sz,2024-10-10,2.9,2.85,0.09361814,2.75,28.37465,False,True,True,28.37465
600736.sh,2024-10-10,4.6032643,4.613228,0.16185538,4.613228,27.50216,False,True,True,27.50216
000012.sz,2024-10-10,5.4046397,5.4440894,0.1822382,5.187665,27.466396,False,True,True,27.466396
600613.sh,2024-10-10,5.7431307,5.8009477,0.19927482,5.6564054,27.384949,False,True,True,27.384949
600226.sh,2024-10-10,2.14,2.13,0.07409219,2.06,26.8032,False,True,True,26.8032
600868.sh,2024-10-10,2.08,2.1,0.07465855,2.07,26.726227,False,True,True,26.726227
000652.sz,2024-10-10,4.0495524,3.9006717,0.13815863,3.8212686,26.658558,False,True,True,26.658558
002030.sz,2024-10-10,6.22,6.19,0.21098197,5.76,26.300913,False,True,True,26.300913
000630.sz,2024-10-10,3.3504314,3.4265776,0.1185945,3.2362123,26.288048,False,True,True,26.288048
000538.sz,2024-10-10,53.171375,53.921684,1.8801057,50.60019,25.91348,False,True,True,25.91348
600884.sh,2024-10-10,8.58,8.38,0.28931904,7.77,25.856165,False,True,True,25.856165
600048.sh,2024-10-10,9.4055395,9.816604,0.37705848,10.100434,25.787449,False,True,True,25.787449
000895.sz,2024-10-10,23.06583,23.351389,0.8532158,22.688154,25.591343,False,True,True,25.591343
600755.sh,2024-10-10,6.423584,6.634043,0.24024203,6.3869824,25.585615,False,True,True,25.585615
600527.sh,2024-10-10,1.7198185,1.6905034,0.05847853,1.5536996,25.568718,False,True,True,25.568718
000848.sz,2024-10-10,7.3745975,7.466094,0.26485756,7.026912,25.53091,False,True,True,25.53091
000598.sz,2024-10-10,7.0353785,7.28873,0.26590246,7.01589,25.385202,False,True,True,25.385202
600618.sh,2024-10-10,8.669066,8.65926,0.3084657,8.119895,25.323494,False,True,True,25.323494
600340.sh,2024-10-10,1.42,1.4,0.05728783,1.47,24.6599,False,True,True,24.6599
600824.sh,2024-10-10,3.35411,3.4337327,0.1277252,3.2446287,24.403198,False,True,True,24.403198
600507.sh,2024-10-10,3.9083319,3.9463692,0.15702567,3.9748971,24.313679,False,True,True,24.313679
600609.sh,2024-10-10,4.2761183,4.385507,0.16876471,4.246285,24.160976,False,True,True,24.160976
600166.sh,2024-10-10,2.53,2.56,0.0968837,2.43,24.08162,False,True,True,24.08162
002130.sz,2024-10-10,15.882109,14.699399,0.69644153,17.263594,23.788288,False,True,True,23.788288
002003.sz,2024-10-10,12.521698,12.373512,0.49101335,12.003048,23.445461,False,True,True,23.445461
600770.sh,2024-10-10,3.62,3.4,0.1604609,3.78,22.55714,False,True,True,22.55714
002252.sz,2024-10-10,7.5431504,7.334721,0.2971146,6.9972644,22.550724,False,True,True,22.550724
600261.sh,2024-10-10,2.6476266,2.675302,0.11152127,2.6107259,22.410116,False,True,True,22.410116
600641.sh,2024-10-10,13.789293,13.081383,0.61414516,14.317733,22.31327,False,True,True,22.31327
600067.sh,2024-10-10,2.1086645,2.1086645,0.09444428,2.1549072,21.816704,False,True,True,21.816704
002456.sz,2024-10-10,9.9,9.73,0.4695754,10.67,21.722656,False,True,True,21.722656
002340.sz,2024-10-10,6.9832745,6.894253,0.28139403,6.3601213,21.60219,False,True,True,21.60219
600497.sh,2024-10-10,5.351388,5.3899565,0.23326094,5.2453246,21.486938,False,True,True,21.486938
002004.sz,2024-10-10,4.220924,4.1573834,0.17636955,3.9486063,21.388254,False,True,True,21.388254
000650.sz,2024-10-10,5.9947033,6.0238986,0.2522562,5.634632,21.33694,False,True,True,21.33694
