factor_name,coverage,nunique,quality_ok,ic,icir,win_rate,p_adjusted,significant,stable,redundant,selected,ic_2020,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,pos_2020,pos_2021,pos_2022,pos_2023,pos_2024,pos_2025,n_years,n_ic_years,ic_consistency
VOL_REV,1.0,3875902,True,0.04703016004387274,0.2723932993399968,0.6268041237113402,0.0,True,True,False,True,0.041690658273136526,0.054525719813064366,0.057648867053205766,0.07343800540392295,0.05198382048343162,0.02519270479733108,0.6131687242798354,0.6460905349794238,0.6446280991735537,0.6735537190082644,0.6033057851239669,0.5802469135802469,6,6,1.0
QTLD60,1.0,2097236,True,0.044919424716955786,0.3666456534071649,0.6405498281786941,0.0,True,True,False,True,0.02437410750354806,0.05295486545592411,0.06297955020814883,0.05393282296715743,0.05969952205071116,0.07607238033233356,0.5679012345679012,0.6419753086419753,0.6652892561983471,0.6570247933884298,0.6074380165289256,0.7037037037037037,6,6,1.0
MIN5,1.0,804642,True,0.04426622493550029,0.4268830938664741,0.672852233676976,0.0,True,True,False,True,0.04538324870858959,0.04413361499988297,0.05897527700823384,0.043651068424684775,0.04940535489044379,0.059556035010944676,0.691358024691358,0.6378600823045267,0.6818181818181818,0.6652892561983471,0.6611570247933884,0.6995884773662552,6,6,1.0
MIN10,1.0,944335,True,0.04187970269769436,0.4026413640053456,0.6529209621993127,0.0,True,True,False,True,0.03887455093630847,0.040735418034243964,0.053877002749591445,0.05565220840901754,0.0472558183658771,0.053446656604411995,0.6213991769547325,0.6008230452674898,0.6859504132231405,0.7066115702479339,0.6322314049586777,0.6707818930041153,6,6,1.0
QTLD30,1.0,1838435,True,0.04169233791387096,0.36353874743343123,0.6405498281786941,0.0,True,True,False,True,0.036891092641685407,0.03524021077692047,0.051063533681605544,0.050061190962866604,0.05665152103724076,0.07143235641714901,0.6172839506172839,0.5843621399176955,0.6652892561983471,0.6611570247933884,0.5950413223140496,0.720164609053498,6,6,1.0
MIN30,1.0,1207313,True,0.04162807405956783,0.37407316409521774,0.6378006872852233,0.0,True,True,False,True,0.037469528872340174,0.042472523271638744,0.050878979810784764,0.06063919326302119,0.049284505555818856,0.053251810054980905,0.6008230452674898,0.588477366255144,0.6446280991735537,0.7024793388429752,0.6528925619834711,0.6378600823045267,6,6,1.0
LOW0,1.0,531731,True,0.03958980529251657,0.3844712176649609,0.6749140893470791,0.0,True,True,False,True,0.04088206903379152,0.040730063167674094,0.05210996774726756,0.04124747137668655,0.03651086818449825,0.046493395166703665,0.7160493827160493,0.6460905349794238,0.7024793388429752,0.6528925619834711,0.628099173553719,0.7037037037037037,6,6,1.0
ROC30,1.0,1693778,True,0.039195319651283055,0.308842221925155,0.60893470790378,0.0,True,True,False,True,0.02957573577158437,0.03617442222272171,0.060280175294158626,0.03657874600188527,0.049211859341391266,0.077568556726882,0.5720164609053497,0.6131687242798354,0.6074380165289256,0.6157024793388429,0.5371900826446281,0.7078189300411523,6,6,1.0
VMA60,1.0,4024152,True,0.03882273804457311,0.4088392374085742,0.6721649484536083,0.0,True,True,False,True,0.032816440789973436,0.022665377464992895,0.04608718251019548,0.036697000283981096,0.047506221150301745,0.06388111850258725,0.6419753086419753,0.588477366255144,0.7024793388429752,0.6776859504132231,0.6776859504132231,0.7448559670781894,6,6,1.0
MIN60,1.0,1410835,True,0.038769008896456375,0.33913681302907145,0.6164948453608248,0.0,True,True,False,True,0.021099176025020747,0.0545192079068022,0.055556191811851716,0.060375581696636205,0.035006273877440625,0.05320235302940829,0.551440329218107,0.6378600823045267,0.6239669421487604,0.6694214876033058,0.5950413223140496,0.6213991769547325,6,6,1.0
VSUMN60,1.0,1999711,True,0.037599463615314625,0.4264792838730751,0.6639175257731958,0.0,True,True,False,True,0.03171365117289098,0.038086276210167073,0.034200191794060406,0.03788257864417153,0.04556353892543783,0.055639125859076335,0.6584362139917695,0.654320987654321,0.6115702479338843,0.6528925619834711,0.6900826446280992,0.7160493827160493,6,6,1.0
