factor,coverage,missing_rate,outlier_rate,std,passed,reason,window,category
netprofit_yoy,1.0,0.0,0.0011,0.245697,True,通过,Window_2023,Growth
tr_yoy,1.0,0.0,0.0011,0.245878,True,通过,Window_2023,Growth
basic_eps_yoy,1.0,0.0,0.0011,0.24569,True,通过,Window_2023,Growth
MOM_6m,1.0,0.0,0.0,0.26587,True,通过,Window_2023,Momentum
MOM_12m,1.0,0.0,0.0,0.238857,True,通过,Window_2023,Momentum
MOM_skip1m,1.0,0.0,0.0,0.243353,True,通过,Window_2023,Momentum
IND_NEUT_MOM,1.0,0.0,0.0,0.284188,True,通过,Window_2023,Momentum
MOM_ACCEL,1.0,0.0,0.0,0.265881,True,通过,Window_2023,Momentum
momentum_1m,1.0,0.0,0.0,0.277198,True,通过,Window_2023,Momentum
ma_cross_5_20,1.0,0.0,0.0146,0.2856,True,通过,Window_2023,Momentum
long_momentum,1.0,0.0,0.0,0.250877,True,通过,Window_2023,Momentum
KMID,1.0,0.0,0.0011,0.288457,True,通过,Window_2023,Price-Volume
KLEN,1.0,0.0,0.0,0.288619,True,通过,Window_2023,Price-Volume
KMID2,1.0,0.0,0.0011,0.288469,True,通过,Window_2023,Price-Volume
KUP,1.0,0.0,0.0,0.288339,True,通过,Window_2023,Price-Volume
KUP2,1.0,0.0,0.0,0.288351,True,通过,Window_2023,Price-Volume
KLOW,1.0,0.0,0.0011,0.287974,True,通过,Window_2023,Price-Volume
KLOW2,1.0,0.0,0.0011,0.288001,True,通过,Window_2023,Price-Volume
KSFT,1.0,0.0,0.0,0.288628,True,通过,Window_2023,Price-Volume
KSFT2,1.0,0.0,0.0011,0.288392,True,通过,Window_2023,Price-Volume
OPEN0,1.0,0.0,0.0011,0.28846,True,通过,Window_2023,Price-Volume
HIGH0,1.0,0.0,0.0,0.288563,True,通过,Window_2023,Price-Volume
LOW0,1.0,0.0,0.0011,0.28833,True,通过,Window_2023,Price-Volume
VWAP0,1.0,0.0,0.0,0.288627,True,通过,Window_2023,Price-Volume
ROC5,1.0,0.0,0.0,0.285602,True,通过,Window_2023,Price-Volume
ROC10,1.0,0.0,0.0,0.282529,True,通过,Window_2023,Price-Volume
ROC20,1.0,0.0,0.0,0.277213,True,通过,Window_2023,Price-Volume
ROC30,1.0,0.0,0.0,0.271105,True,通过,Window_2023,Price-Volume
ROC60,1.0,0.0,0.0,0.250915,True,通过,Window_2023,Price-Volume
MA5,1.0,0.0,0.0,0.288026,True,通过,Window_2023,Price-Volume
MA10,1.0,0.0,0.0,0.28803,True,通过,Window_2023,Price-Volume
MA20,1.0,0.0,0.0,0.288034,True,通过,Window_2023,Price-Volume
MA30,1.0,0.0,0.0,0.288035,True,通过,Window_2023,Price-Volume
MA60,1.0,0.0,0.0,0.288037,True,通过,Window_2023,Price-Volume
STD5,1.0,0.0,0.0,0.288013,True,通过,Window_2023,Price-Volume
