window,rank,factor_name
Test_2023,1,EXTREME_REV
Test_2023,2,VOL_REV
Test_2023,3,STR_20d
Test_2023,4,illiquidity_amihud
Test_2023,5,tr_yoy
Test_2023,6,STR_5d
Test_2023,7,inv_turn
Test_2023,8,LTR_12m
Test_2023,9,roe_ttm
Test_2023,10,roa_ttm
Test_2023,11,MOM_skip1m
Test_2023,12,current_ratio
Test_2023,13,MOM_6m
Test_2023,14,IND_NEUT_MOM
Test_2024,1,EXTREME_REV
Test_2024,2,illiquidity_amihud
Test_2024,3,VOL_REV
Test_2024,4,STR_20d
Test_2024,5,LTR_12m
Test_2024,6,STR_5d
Test_2024,7,MOM_ACCEL
Test_2024,8,netprofit_yoy
Test_2024,9,inv_turn
Test_2024,10,roa_ttm
Test_2024,11,roe_ttm
Test_2024,12,shareholder_change
Test_2024,13,netprofit_margin
Test_2024,14,MOM_6m
Test_2025,1,EXTREME_REV
Test_2025,2,VOL_REV
Test_2025,3,illiquidity_amihud
Test_2025,4,STR_20d
Test_2025,5,LTR_12m
Test_2025,6,STR_5d
Test_2025,7,debt_to_assets
Test_2025,8,beta
Test_2025,9,netprofit_margin
Test_2025,10,IND_NEUT_MOM
Test_2025,11,MOM_6m
Test_2025,12,basic_eps_yoy
Test_2025,13,netprofit_yoy
Test_2025,14,shareholder_change
Test_2025,15,roe_ttm
Test_2026,1,EXTREME_REV
Test_2026,2,STR_20d
Test_2026,3,VOL_REV
Test_2026,4,ocf_to_netprofit
Test_2026,5,illiquidity_amihud
Test_2026,6,STR_5d
Test_2026,7,LTR_12m
Test_2026,8,inv_turn
Test_2026,9,beta
Test_2026,10,IND_NEUT_MOM
Test_2026,11,shareholder_change
Test_2026,12,MOM_6m
Test_2026,13,total_mv_log
Test_2026,14,MOM_ACCEL
Test_2026,15,roe_ttm
